13-5-2026	11:55
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
9000,000            -14,377            -26,940
9013,826            -14,388            -26,864
9027,673            -14,388            -26,845
9041,542            -14,398            -26,769
9055,432            -14,408            -26,701
9069,343            -14,418            -26,623
9083,276            -14,464            -28,083
9097,230            -14,436            -26,499
9111,206            -14,436            -26,493
9125,202            -14,445            -26,419
9139,221            -14,455            -26,347
9153,261            -14,464            -26,277
9167,322            -14,474            -26,209
9181,406            -14,474            -26,196
9195,510            -14,483            -26,125
9209,637            -14,493            -26,070
9223,785            -14,502            -25,975
9237,955            -14,511            -25,910
9252,147            -14,511            -25,898
9266,360            -14,521            -25,827
9280,595            -14,530            -25,755
9294,853            -14,540            -25,680
9309,132            -14,540            -25,669
9323,433            -14,549            -25,599
9337,756            -14,559            -25,525
9352,101            -14,568            -25,453
9366,468            -14,578            -25,378
9380,857            -14,578            -25,367
9395,268            -14,587            -25,291
9409,701            -14,597            -25,219
9424,157            -14,606            -25,145
9438,635            -14,606            -25,131
9453,135            -14,615            -25,060
9467,657            -14,625            -24,982
9482,201            -14,634            -24,907
9496,768            -14,644            -24,833
9511,358            -14,644            -24,821
9525,969            -14,528            -19,919
9540,603            -14,662            -24,679
9555,260            -14,671            -24,611
9569,939            -14,680            -24,533
9584,641            -14,679            -24,522
9599,365            -14,688            -24,451
9614,112            -14,701            -24,409
9628,882            -14,706            -24,304
9643,674            -14,715            -24,231
9658,489            -14,715            -24,214
9673,326            -14,724            -24,139
9688,187            -14,733            -24,068
9703,070            -14,737            -23,918
9717,976            -14,739            -23,779
9732,906            -14,750            -23,906
9747,858            -14,759            -23,832
9762,833            -14,768            -23,758
9777,831            -14,777            -23,680
9792,852            -14,777            -23,666
9807,896            -14,782            -23,526
9822,963            -14,794            -23,512
9838,053            -14,803            -23,433
9853,167            -14,812            -23,361
9868,304            -14,812            -23,347
9883,464            -14,820            -23,271
9898,647            -14,825            -23,234
9913,854            -14,838            -23,117
9929,084            -14,838            -23,100
9944,337            -14,846            -23,023
9959,614            -14,856            -22,947
9974,914            -14,864            -22,864
9990,238            -14,813            -20,719
10005,586            -14,876            -22,749
10020,956            -14,884            -22,686
10036,351            -14,892            -22,613
10051,769            -14,892            -22,591
10067,211            -14,901            -22,523
10082,677            -14,909            -22,448
10098,166            -14,917            -22,371
10113,679            -14,925            -22,292
10129,216            -14,925            -22,278
10144,777            -14,934            -22,204
10160,362            -14,942            -22,122
10175,971            -14,950            -22,045
10191,603            -14,958            -21,969
10207,260            -14,958            -21,954
10222,941            -14,966            -21,880
10238,646            -14,974            -21,800
10254,375            -14,983            -21,721
10270,128            -14,991            -21,640
10285,905            -14,990            -21,627
10301,707            -14,999            -21,549
10317,532            -15,007            -21,468
10333,383            -15,015            -21,388
10349,257            -15,015            -21,380
10365,156            -15,023            -21,295
10381,079            -15,031            -21,213
10397,027            -15,039            -21,134
10412,999            -15,047            -21,051
10428,996            -15,047            -21,038
10445,018            -15,055            -20,957
10461,064            -15,063            -20,879
10477,134            -15,071            -20,793
10493,230            -15,071            -20,782
10509,350            -15,079            -20,703
10525,495            -15,162            -23,447
10541,664            -15,093            -20,552
10557,859            -15,100            -20,475
10574,078            -15,108            -20,399
10590,322            -15,107            -20,387
10606,591            -15,116            -20,296
10622,886            -15,123            -20,219
10639,205            -15,131            -20,143
10655,549            -15,138            -20,058
10671,919            -15,138            -20,045
10688,313            -15,146            -19,964
10704,733            -15,153            -19,882
10721,178            -15,161            -19,801
10737,648            -15,168            -19,722
10754,144            -15,168            -19,706
10770,665            -15,175            -19,624
10787,211            -15,183            -19,545
10803,783            -15,190            -19,470
10820,380            -15,197            -19,374
10837,003            -15,197            -19,363
10853,651            -15,205            -19,277
10870,325            -15,212            -19,193
10887,024            -15,219            -19,111
10903,749            -15,220            -19,095
10920,500            -15,227            -19,014
10937,276            -15,234            -18,934
10954,078            -15,241            -18,846
10970,906            -15,249            -18,764
10987,760            -15,248            -18,747
11004,640            -15,256            -18,666
11021,546            -15,263            -18,581
11038,477            -15,270            -18,497
11055,435            -15,270            -18,475
11072,419            -15,277            -18,398
11089,429            -15,285            -18,307
11106,465            -15,493            -22,619
11123,527            -15,294            -18,182
11140,615            -15,301            -18,100
11157,730            -15,308            -18,014
11174,871            -15,314            -17,931
11192,038            -15,315            -17,920
11209,232            -15,322            -17,807
11226,452            -15,329            -17,728
11243,698            -15,335            -17,645
11260,971            -15,342            -17,561
11278,271            -15,342            -17,545
11295,597            -15,348            -17,474
11312,949            -15,355            -17,371
11330,329            -15,362            -17,292
11347,735            -15,368            -17,206
11365,168            -15,368            -17,188
11382,627            -15,374            -17,105
11400,114            -15,381            -17,020
11417,627            -15,387            -16,937
11435,167            -15,394            -16,849
11452,734            -15,394            -16,834
11470,328            -15,400            -16,747
11487,949            -15,407            -16,660
11505,597            -15,413            -16,577
11523,273            -15,419            -16,488
11540,975            -15,420            -16,475
11558,705            -15,426            -16,385
11576,462            -15,432            -16,299
11594,246            -15,438            -16,214
11612,057            -15,438            -16,199
11629,896            -15,445            -16,110
11647,763            -15,451            -16,020
11665,656            -15,457            -15,932
11683,577            -15,463            -15,847
11701,526            -15,463            -15,830
11719,503            -15,470            -15,742
11737,506            -15,476            -15,655
11755,538            -15,532            -21,641
11773,597            -15,483            -15,541
11791,684            -15,488            -15,455
11809,799            -15,494            -15,364
11827,942            -15,500            -15,278
11846,112            -15,500            -15,262
11864,311            -15,505            -15,175
11882,537            -15,511            -15,087
11900,791            -15,531            -15,277
11919,074            -15,522            -14,923
11937,384            -15,522            -14,905
11955,723            -15,528            -14,817
11974,090            -15,534            -14,729
11992,485            -15,539            -14,641
12010,908            -15,545            -14,557
12029,360            -15,545            -14,540
12047,840            -15,550            -14,452
12066,348            -15,556            -14,368
12084,885            -15,561            -14,278
12103,450            -15,567            -14,190
12122,044            -15,567            -14,174
12140,666            -15,572            -14,082
12159,317            -15,578            -13,995
12177,996            -15,583            -13,906
12196,705            -15,588            -13,819
12215,442            -15,588            -13,802
12234,208            -15,594            -13,712
12253,002            -15,599            -13,625
12271,826            -15,604            -13,534
12290,678            -15,604            -13,518
12309,559            -15,610            -13,426
12328,470            -15,615            -13,337
12347,409            -15,620            -13,248
12366,378            -15,625            -13,157
12385,375            -15,625            -13,138
12404,402            -15,631            -13,047
12423,458            -15,636            -12,955
12442,544            -15,641            -12,860
12461,658            -15,641            -12,849
12480,802            -15,646            -12,756
12499,976            -15,673             -9,913
12519,179            -15,653            -12,646
12538,411            -15,658            -12,537
12557,673            -15,662            -12,453
12576,965            -15,667            -12,380
12596,286            -15,672            -12,270
12615,637            -15,676            -12,183
12635,017            -15,676            -12,167
12654,428            -15,681            -12,080
12673,868            -15,685            -11,993
12693,338            -15,691            -11,679
12712,838            -15,695            -11,814
12732,368            -15,695            -11,797
12751,928            -15,699            -11,710
12771,518            -15,704            -11,617
12791,138            -15,708            -11,527
12810,788            -15,715            -11,523
12830,468            -15,710            -11,258
12850,179            -15,717            -11,337
12869,920            -15,721            -11,243
12889,691            -15,726            -11,154
12909,493            -15,730            -11,063
12929,325            -15,730            -11,046
12949,187            -15,734            -10,954
12969,080            -15,739            -10,863
12989,004            -15,743            -10,770
13008,958            -15,747            -10,682
13028,943            -15,747            -10,663
13048,958            -15,752            -10,572
13069,005            -15,756            -10,473
13089,082            -15,760            -10,388
13109,190            -15,760            -10,370
13129,328            -15,764            -10,276
13149,498            -15,768            -10,189
13169,699            -15,772            -10,090
13189,931            -15,776             -9,996
13210,193            -15,776             -9,982
13230,487            -15,780             -9,885
13250,813            -15,784             -9,792
13271,169            -15,788             -9,702
13291,557            -15,788             -9,682
13311,975            -15,792             -9,592
13332,426            -15,689            -10,574
13352,908            -15,799             -9,435
13373,421            -15,802             -9,333
13393,966            -15,806             -9,253
13414,542            -15,809             -9,157
13435,150            -15,809             -9,148
13455,789            -15,813             -9,054
13476,461            -15,816             -8,961
13497,164            -15,820             -8,873
13517,898            -15,823             -8,780
13538,665            -15,823             -8,763
13559,464            -15,826             -8,676
13580,294            -15,830             -8,581
13601,157            -15,833             -8,492
13622,051            -15,836             -8,402
13642,978            -15,837             -8,380
13663,937            -15,840             -8,290
13684,928            -15,843             -8,198
13705,951            -15,846             -8,105
13727,007            -15,849             -8,012
13748,095            -15,849             -7,997
13769,215            -15,853             -7,902
13790,368            -15,856             -7,810
13811,553            -15,859             -7,717
13832,771            -15,862             -7,624
13854,021            -15,862             -7,605
13875,304            -15,865             -7,510
13896,620            -15,868             -7,418
13917,968            -15,871             -7,325
13939,350            -15,874             -7,227
13960,764            -15,874             -7,215
13982,211            -15,877             -7,118
14003,691            -15,879             -7,023
14025,204            -15,882             -6,929
14046,750            -15,882             -6,912
14068,329            -15,885             -6,815
14089,941            -15,888             -6,720
14111,587            -15,890             -6,626
14133,265            -15,893             -6,529
14154,977            -15,893             -6,511
14176,723            -15,896             -6,414
14198,501            -15,898             -6,323
14220,314            -15,901             -6,219
14242,159            -15,901             -6,205
14264,039            -15,904             -6,107
14285,952            -15,907             -5,961
14307,898            -15,907             -5,955
14329,879            -15,909             -5,859
14351,893            -15,911             -5,768
14373,940            -15,913             -5,680
14396,022            -15,915             -5,590
14418,138            -15,915             -5,571
14440,288            -15,918             -5,480
14462,471            -15,920             -5,388
14484,689            -15,922             -5,297
14506,941            -15,924             -5,204
14529,227            -15,926             -5,112
14551,547            -15,926             -5,091
14573,902            -15,928             -4,998
14596,291            -15,930             -4,907
14618,714            -15,932             -4,815
14641,172            -15,934             -4,721
14663,664            -15,934             -4,701
14686,191            -15,935             -4,610
14708,753            -15,937             -4,517
14731,349            -15,939             -4,423
14753,980            -15,941             -4,326
14776,645            -15,941             -4,309
14799,346            -15,942             -4,213
14822,081            -15,944             -4,124
14844,851            -15,946             -4,027
14867,656            -15,947             -3,935
14890,496            -15,947             -3,913
14913,372            -15,949             -3,818
14936,282            -15,951             -3,725
14959,228            -15,952             -3,628
14982,209            -15,954             -3,535
15005,225            -15,954             -3,512
15028,276            -15,955             -3,418
15051,363            -15,956             -3,369
15074,486            -15,958             -3,228
15097,644            -15,958             -3,207
15120,837            -15,959             -3,109
15144,067            -15,960             -3,015
15167,331            -15,962             -2,910
15190,632            -15,963             -2,821
15213,968            -15,963             -2,803
15237,341            -15,964             -2,707
15260,749            -15,966             -2,608
15284,193            -15,967             -2,514
15307,673            -15,967             -2,490
15331,189            -15,968             -2,398
15354,742            -15,969             -2,300
15378,330            -16,100            -18,795
15401,955            -15,970             -2,122
15425,616            -15,971             -2,039
15449,313            -15,972             -1,945
15473,047            -15,972             -1,923
15496,817            -15,973             -1,833
15520,624            -15,974             -1,738
15544,467            -15,974             -1,649
15568,347            -15,975             -1,557
15592,264            -15,976             -1,464
15616,217            -15,976             -1,442
15640,207            -15,977             -1,347
15664,235            -15,977             -1,257
15688,298            -15,978             -1,164
15712,399            -15,978             -1,071
15736,537            -15,978             -1,048
15760,712            -15,979             -0,955
15784,925            -15,979             -0,867
15809,174            -15,980             -0,773
15833,460            -15,980             -0,678
15857,784            -15,980             -0,655
15882,146            -15,981             -0,570
15906,544            -15,981             -0,468
15930,981            -15,981             -0,371
15955,454            -15,982             -0,279
15979,966            -15,982             -0,188
16004,515            -15,982             -0,165
16029,101            -15,982             -0,069
16053,726            -15,982              0,026
16078,388            -15,982              0,116
16103,088            -15,982              0,215
16127,827            -15,982              0,238
16152,603            -15,982              0,334
16177,417            -15,982              0,427
16202,269            -15,982              0,525
16227,160            -15,982              0,545
16252,088            -15,982              0,640
16277,055            -15,982              0,738
16302,061            -15,982              0,831
16327,105            -15,981              0,926
16352,187            -15,981              0,949
16377,308            -15,981              1,044
16402,467            -15,981              1,143
16427,665            -15,980              1,235
16452,902            -15,980              1,334
16478,177            -15,980              1,354
16503,492            -15,980              1,453
16528,845            -15,979              1,546
16554,237            -15,979              1,645
16579,668            -15,979              1,672
16605,139            -15,978              1,766
16630,648            -15,977              1,863
16656,197            -15,711              0,113
16681,785            -15,976              2,004
16707,412            -15,975              2,100
16733,078            -15,975              2,187
16758,784            -15,974              2,280
16784,530            -15,974              2,299
16810,315            -15,973              2,394
16836,139            -15,973              2,486
16862,004            -15,972              2,575
16887,908            -15,971              2,668
16913,851            -15,970              2,758
16939,835            -15,970              2,779
16965,859            -15,969              2,870
16991,922            -15,968              2,964
17018,026            -15,967              3,055
17044,169            -15,966              3,150
17070,353            -15,966              3,172
17096,577            -15,965              3,261
17122,842            -15,964              3,354
17149,146            -15,963              3,442
17175,492            -15,962              3,537
17201,877            -15,961              3,632
17228,303            -15,961              3,655
17254,770            -15,960              3,744
17281,277            -15,958              3,836
17307,826            -15,957              3,927
17334,414            -15,956              4,022
17361,044            -15,956              4,043
17387,715            -15,955              4,135
17414,426            -15,953              4,230
17441,179            -15,952              4,318
17467,973            -15,950              4,413
17494,808            -15,950              4,433
17521,684            -15,949              4,528
17548,601            -15,947              4,623
17575,560            -15,946              4,718
17602,560            -15,944              4,807
17629,602            -15,944              4,834
17656,685            -15,942              4,922
17683,810            -15,941              5,020
17710,977            -15,939              5,098
17738,185            -15,939              5,134
17765,435            -15,937              5,231
17792,727            -15,935              5,326
17820,061            -15,933              5,416
17847,436            -15,931              5,512
17874,854            -15,931              5,536
17902,314            -15,929              5,632
17929,816            -15,927              5,726
17957,361            -15,925              5,821
17984,948            -15,923              5,915
18012,577            -15,923              5,939
18040,248            -15,921              6,030
18067,962            -15,919              6,127
18095,719            -15,917              6,225
18123,518            -15,916              6,246
18151,360            -15,914              6,341
18179,245            -15,922             11,648
18207,173            -15,909              6,529
18235,143            -15,907              6,616
18263,157            -15,907              6,636
18291,213            -15,905              6,727
18319,313            -15,903              6,817
18347,455            -15,900              6,909
18375,642            -15,898              6,991
18403,871            -15,896              7,081
18432,143            -15,896              7,105
18460,460            -15,893              7,193
18488,819            -15,891              7,283
18517,222            -15,884              7,065
18545,669            -15,886              7,458
18574,160            -15,883              7,547
18602,694            -15,883              7,576
18631,272            -15,881              7,661
18659,894            -15,878              7,753
18688,560            -15,876              7,830
18717,270            -15,873              7,932
18746,024            -15,870              8,017
18774,823            -15,870              8,041
18803,665            -15,867              8,128
18832,552            -15,864              8,221
18861,483            -15,863              8,187
18890,459            -15,859              8,398
18919,479            -15,859              8,426
