13-5-2026	12:12
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
2000,000            -11,912            -30,201
2003,072            -11,924            -28,685
2006,150            -11,925            -28,676
2009,232            -11,936            -28,637
2012,318            -11,946            -28,598
2015,410            -11,957            -28,557
2018,506            -11,962            -27,766
2021,607            -11,969            -28,535
2024,712            -11,980            -28,481
2027,823            -11,990            -28,442
2030,938            -12,001            -28,402
2034,058            -12,001            -28,400
2037,183            -12,011            -28,364
2040,312            -11,990            -28,720
2043,447            -12,023            -28,313
2046,586            -12,034            -28,277
2049,730            -12,044            -28,241
2052,879            -12,055            -28,202
2056,033            -12,065            -28,161
2059,191            -12,065            -28,161
2062,355            -12,078            -28,114
2065,523            -12,088            -28,072
2068,696            -12,088            -28,074
2071,874            -12,098            -28,032
2075,057            -12,109            -27,992
2078,245            -12,120            -27,956
2081,437            -12,133            -26,984
2084,635            -12,133            -27,902
2087,837            -12,143            -27,861
2091,045            -12,153            -27,825
2094,257            -12,153            -27,821
2097,474            -12,163            -27,781
2100,697            -12,174            -27,741
2103,924            -12,188            -27,081
2107,156            -12,188            -27,682
2110,393            -12,198            -27,591
2113,635            -12,208            -27,602
2116,882            -12,208            -27,598
2120,134            -12,219            -27,553
2123,391            -12,229            -27,519
2126,653            -12,260            -27,662
2129,920            -12,243            -27,456
2133,192            -12,253            -27,415
2136,469            -12,264            -27,372
2139,751            -12,264            -27,373
2143,039            -12,274            -27,331
2146,331            -12,284            -27,286
2149,628            -12,292            -26,666
2152,930            -12,299            -27,230
2156,238            -12,309            -27,184
2159,550            -12,319            -27,143
2162,868            -12,319            -27,139
2166,191            -12,330            -27,096
2169,518            -12,340            -27,055
2172,851            -12,344            -25,773
2176,189            -12,355            -26,988
2179,532            -12,365            -26,948
2182,881            -12,375            -26,904
2186,234            -12,375            -26,903
2189,593            -12,386            -26,858
2192,956            -12,396            -26,818
2196,325            -12,415            -27,011
2199,699            -12,413            -26,742
2203,079            -12,422            -26,696
2206,463            -12,422            -26,696
2209,853            -12,432            -26,654
2213,248            -12,443            -26,608
2216,648            -12,453            -26,570
2220,053            -12,450            -25,777
2223,463            -12,469            -26,484
2226,879            -12,469            -26,467
2230,300            -12,478            -26,450
2233,726            -12,489            -26,405
2237,158            -12,499            -26,359
2240,595            -12,510            -26,310
2244,037            -12,509            -26,306
2247,484            -12,517            -26,271
2250,937            -12,526            -26,229
2254,395            -12,537            -26,183
2257,858            -12,547            -26,135
2261,327            -12,546            -26,135
2264,801            -12,557            -26,090
2268,280            -12,567            -26,045
2271,765            -12,571            -25,051
2275,255            -12,584            -25,960
2278,750            -12,594            -25,915
2282,251            -12,593            -25,916
2285,757            -12,603            -25,870
2289,268            -12,613            -25,820
2292,785            -12,624            -25,772
2296,307            -12,624            -25,772
2299,835            -12,632            -25,732
2303,368            -12,642            -25,683
2306,907            -12,652            -25,637
2310,450            -12,661            -25,588
2314,000            -12,661            -25,587
2317,555            -12,671            -25,540
2321,115            -12,681            -25,491
2324,681            -12,716            -25,976
2328,252            -12,699            -25,400
2331,829            -12,699            -25,397
2335,411            -12,709            -25,351
2338,999            -12,719            -25,298
2342,592            -12,729            -25,254
2346,191            -12,739            -25,205
2349,795            -12,739            -25,202
2353,405            -12,747            -25,936
2357,020            -12,758            -25,104
2360,641            -12,767            -25,059
2364,268            -12,767            -25,056
2367,900            -12,778            -25,151
2371,537            -12,787            -24,916
2375,181            -12,797            -24,921
2378,830            -12,814            -25,696
2382,484            -12,820            -26,852
2386,144            -12,816            -24,805
2389,810            -12,826            -24,694
2393,481            -12,832            -24,599
2397,158            -12,835            -25,135
2400,841            -12,845            -24,737
2404,529            -12,855            -24,595
2408,223            -12,861            -25,010
2411,922            -12,866            -24,540
