18-5-2026	15:55
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
2000,000             -4,138            -29,350
2003,072             -4,142            -28,595
2006,150             -4,142            -28,596
2009,232             -4,150            -28,618
2012,318             -4,158            -28,642
2015,410             -4,166            -28,674
2018,506             -4,196            -29,224
2021,607             -4,175            -28,710
2024,712             -4,183            -28,719
2027,823             -4,191            -28,738
2030,938             -4,199            -28,765
2034,058             -4,199            -28,758
2037,183             -4,207            -28,784
2040,312             -4,236            -29,602
2043,447             -4,217            -28,804
2046,586             -4,225            -28,831
2049,730             -4,233            -28,858
2052,879             -4,241            -28,887
2056,033             -4,249            -28,902
2059,191             -4,249            -28,899
2062,355             -4,259            -28,928
2065,523             -4,267            -28,955
2068,696             -4,267            -28,949
2071,874             -4,276            -28,980
2075,057             -4,284            -28,992
2078,245             -4,292            -29,023
2081,437             -4,332            -30,490
2084,635             -4,302            -29,045
2087,837             -4,310            -29,071
2091,045             -4,319            -29,096
2094,257             -4,319            -29,094
2097,474             -4,327            -29,111
2100,697             -4,335            -29,132
2103,924             -4,365            -29,388
2107,156             -4,346            -29,167
2110,393             -4,354            -29,193
2113,635             -4,363            -29,206
2116,882             -4,363            -29,211
2120,134             -4,371            -29,232
2123,391             -4,379            -29,250
2126,653             -4,429            -30,624
2129,920             -4,391            -29,281
2133,192             -4,399            -29,305
2136,469             -4,408            -29,325
2139,751             -4,408            -29,322
2143,039             -4,416            -29,344
2146,331             -4,424            -29,369
2149,628             -4,411            -29,090
2152,930             -4,437            -29,401
2156,238             -4,445            -29,418
2159,550             -4,454            -29,442
2162,868             -4,454            -29,441
2166,191             -4,462            -29,461
2169,518             -4,470            -29,481
2172,851             -4,486            -29,305
2176,189             -4,483            -29,516
2179,532             -4,492            -29,536
2182,881             -4,500            -29,558
2186,234             -4,500            -29,559
2189,593             -4,509            -29,577
2192,956             -4,517            -29,596
2196,325             -4,527            -29,179
2199,699             -4,530            -29,629
2203,079             -4,539            -29,650
2206,463             -4,539            -29,648
2209,853             -4,547            -29,673
2213,248             -4,556            -29,685
2216,648             -4,565            -29,714
2220,053             -4,603            -31,187
2223,463             -4,579            -29,745
2226,879             -4,579            -29,739
2230,300             -4,588            -29,766
2233,726             -4,596            -29,783
2237,158             -4,605            -29,808
2240,595             -4,613            -29,825
2244,037             -4,613            -29,824
2247,484             -4,619            -29,837
2250,937             -4,628            -29,852
2254,395             -4,637            -29,876
2257,858             -4,646            -29,899
2261,327             -4,645            -29,894
2264,801             -4,654            -29,915
2268,280             -4,663            -29,938
2271,765             -4,714            -31,071
2275,255             -4,678            -29,974
2278,750             -4,687            -29,990
2282,251             -4,687            -29,986
2285,757             -4,696            -30,007
2289,268             -4,705            -30,026
2292,785             -4,713            -30,050
2296,307             -4,713            -30,046
2299,835             -4,721            -30,059
