3-6-2026	12:08
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
1000,000             -9,184            -32,150
1047,129             -9,777            -31,868
1096,478            -10,436            -30,784
1148,154            -11,111            -29,115
1202,264            -11,865            -26,565
1258,925            -12,607            -23,105
1318,257            -13,370            -18,239
1380,384            -14,026            -12,200
1445,440            -14,526             -4,714
1513,561            -14,785              3,295
1584,893            -14,756             11,920
1659,587            -14,444             20,163
1737,801            -13,896             26,866
1819,701            -13,222             33,084
1905,461            -12,480             37,609
1995,262            -11,672             41,230
2089,296            -10,898             43,737
2187,762            -10,125             45,624
2290,868             -9,420             46,769
2398,833             -8,727             47,644
2511,886             -8,096             47,792
2630,268             -7,548             49,246
2754,229             -6,938             47,450
2884,032             -6,439             46,979
3019,952             -5,956             46,316
3162,278             -5,506             45,535
3311,311             -5,087             44,597
3467,369             -4,710             43,640
3630,781             -4,358             42,603
3801,894             -4,027             41,522
3981,072             -3,713             40,322
4168,694             -3,432             39,202
4365,158             -3,173             38,045
4570,882             -2,934             36,889
4786,301             -2,711             35,721
5011,872             -2,502             34,543
5248,075             -2,302             33,328
5495,409             -2,124             32,174
5754,399             -1,962             31,059
6025,596             -1,811             29,952
6309,573             -1,668             28,836
6606,934             -1,543             27,801
6918,310             -1,419             26,717
7244,360             -1,309             25,691
7585,776             -1,208             24,713
7943,282             -1,131             24,292
8317,638             -1,028             22,803
8709,636             -0,949             21,896
9120,108             -0,875             21,007
9549,926             -0,808             20,176
10000,000             -0,479             11,015
