2-6-2026	14:36
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
1000,000             -2,837            -24,481
1122,018             -3,182            -26,965
1258,925             -3,422            -28,467
1412,538             -3,804            -30,516
1584,893             -4,236            -32,330
1778,279             -4,726            -33,744
1995,262             -5,254            -35,306
2238,721             -5,826            -36,031
2511,886             -6,418            -35,815
2818,383             -7,042            -36,242
3162,278             -7,680            -36,355
3548,134             -8,331            -36,063
3981,072             -8,979            -35,209
4466,836             -9,601            -33,871
5011,872            -10,206            -32,153
5623,413            -10,783            -30,005
6309,573            -11,311            -27,462
7079,458            -11,787            -24,537
7943,282            -12,193            -21,489
8912,509            -12,541            -17,952
10000,000            -12,731            -11,745
11220,185            -13,023            -10,622
12589,254            -13,154             -6,877
14125,375            -13,222             -3,121
15848,932            -13,221              0,625
17782,794            -13,153              4,328
19952,623            -13,029              7,863
