3-6-2026	10:49
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
100,000             -2,924             -4,917
116,591             -2,944             -5,805
135,936             -2,970             -6,666
158,489             -3,009             -7,766
184,785             -3,059             -8,994
215,443             -3,129            -10,508
251,189             -3,220            -11,954
292,864             -3,339            -13,870
341,455             -3,497            -15,898
398,107             -3,710            -18,397
464,159             -3,972            -20,571
541,170             -4,310            -23,104
630,957             -4,736            -25,761
735,642             -5,262            -28,262
857,696             -5,910            -30,748
1000,000             -6,637            -32,421
1165,914             -7,494            -33,876
1359,356             -8,473            -34,436
1584,893             -9,525            -33,855
1847,850            -10,655            -31,775
2154,435            -11,802            -27,923
2511,886            -12,908            -21,745
2928,645            -13,799            -13,085
3414,549            -14,308             -2,449
3981,072            -14,299              9,079
4641,589            -13,744             19,635
5411,695            -12,809             28,280
6309,573            -11,670             34,610
7356,423            -10,453             38,846
8576,959             -9,253             41,397
10000,000             -7,768             39,293
11659,144             -6,991             42,818
13593,564             -5,954             41,985
15848,932             -5,026             40,481
18478,498             -4,181             38,351
