1-5-2026	13:15
Amplitude: 5,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
1000,000            -42,248             82,869
1023,293            -41,982             83,023
1047,129            -41,747             82,930
1071,519            -41,493             82,832
1096,478            -41,232             82,748
1122,018            -40,986             82,664
1148,154            -40,738             82,610
1174,898            -40,485             82,491
1202,264            -40,209             82,294
1230,269            -39,932             82,296
1258,925            -39,632             82,017
1288,250            -39,316             81,678
1318,257            -38,989             81,361
1348,963            -38,689             81,043
1380,384            -38,358             80,714
1412,538            -38,015             80,324
1445,440            -37,664             79,951
1479,108            -37,334             79,628
1513,561            -36,987             79,321
1548,817            -36,626             78,955
1584,893            -36,237             78,786
1621,810            -35,815             77,902
1659,587            -35,395             77,108
1698,244            -34,939             76,289
1737,801            -34,456             75,550
1778,279            -33,959             74,275
1819,701            -33,420             72,993
1862,087            -32,876             71,639
1905,461            -32,295             70,025
1949,845            -31,643             67,938
1995,262            -30,932             65,417
2041,738            -30,204             62,417
2089,296            -29,415             58,553
2137,962            -28,570             53,553
2187,762            -27,698             47,158
2238,721            -26,916             39,472
2290,868            -26,260             29,795
2344,229            -25,853             18,012
2398,833            -25,864              4,593
2454,709            -26,327             -7,811
2511,886            -27,181            -18,916
2570,396            -28,389            -28,210
2630,268            -29,641            -35,129
2691,535            -31,219            -40,803
2754,229            -32,778            -44,825
2818,383            -34,280            -47,354
2884,032            -35,800            -48,758
2951,209            -37,452            -49,067
3019,952            -39,135            -48,071
3090,295            -40,924            -45,262
3162,278            -42,888            -39,814
3235,937            -44,853            -30,108
3311,311            -46,550            -18,919
3388,442            -46,576             27,712
3467,369            -48,087             10,788
3548,134            -47,676             27,263
3630,781            -46,714             39,826
3715,352            -45,387             49,894
3801,894            -44,345             55,866
3890,451            -43,289             60,445
3981,072            -42,197             63,954
4073,803            -41,195             66,559
4168,694            -40,144             68,490
4265,795            -39,203             69,756
4365,158            -38,153             70,706
4466,836            -37,158             71,146
4570,882            -36,112             71,191
4677,351            -34,994             70,792
4786,301            -33,877             69,887
4897,788            -32,544             68,018
5011,872            -31,290             65,598
5128,614            -29,724             61,360
5248,075            -27,992             55,069
5370,318            -26,140             45,442
5495,409            -24,423             28,485
5623,413            -23,731              5,652
5754,399            -24,715            -18,663
5888,437            -26,784            -35,656
6025,596            -29,315            -46,703
6165,950            -31,703            -52,626
6309,573            -34,161            -56,063
6456,542            -36,300            -57,033
6606,934            -38,435            -55,814
6760,830            -41,134            -51,038
6918,310            -43,970            -39,096
7079,458            -46,237            -18,107
7244,360            -46,866              5,623
7413,102            -45,739             27,361
7585,776            -44,027             41,507
7762,471            -42,551             50,846
7943,282            -41,250             55,019
8128,305            -39,844             60,116
8317,638            -38,388             63,091
8511,380            -36,987             64,831
8709,636            -35,566             65,782
8912,509            -34,065             65,864
9120,108            -32,468             64,985
9332,543            -30,722             62,874
9549,926            -28,920             59,424
9772,372            -26,737             53,007
10000,000            -24,126             36,849
10232,930            -21,931             20,459
10471,285            -21,199             -7,121
10715,193            -22,807            -35,616
10964,782            -25,039            -50,956
11220,185            -27,456            -61,010
11481,536            -29,494            -66,710
11748,976            -31,192            -70,186
12022,644            -32,841            -72,694
12302,688            -34,363            -74,402
12589,254            -35,727            -75,480
12882,496            -37,212            -76,201
13182,567            -38,483            -76,468
13489,629            -39,867            -76,351
13803,843            -41,460            -75,776
14125,375            -42,761            -74,927
14454,398            -44,292            -74,863
14791,084            -46,116            -72,177
