20-5-2026	16:09
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
1000,000             -3,106            -23,166
1096,478             -3,360            -24,780
1202,264             -3,655            -26,402
1318,257             -3,991            -27,855
1445,440             -4,367            -29,297
1584,893             -4,782            -30,650
1737,801             -5,248            -31,319
1905,461             -5,760            -32,743
2089,296             -6,323            -33,412
2290,868             -6,931            -33,751
2511,886             -7,589            -33,648
2754,229             -8,290            -32,936
3019,952             -9,016            -31,663
3311,311             -9,783            -29,506
3630,781            -10,535            -26,473
3981,072            -11,276            -22,296
4365,158            -11,922            -16,931
4786,301            -12,428            -10,514
5248,075            -12,735             -3,029
5754,399            -12,774              4,672
6309,573            -12,551             12,248
6918,310            -12,113             19,117
7585,776            -11,493             24,898
8317,638            -10,772             29,560
9120,108             -9,992             33,284
10000,000             -9,287             42,001
10964,782             -8,425             37,798
12022,644             -7,660             38,823
13182,567             -6,935             39,336
14454,398             -6,240             39,353
15848,932             -5,599             39,003
17378,008             -4,991             38,268
19054,607             -4,544             36,023
