19-05-2026	15:49
Amplitude: 2,00 V
Freq (Hz)	Gain (dB)	Phase (deg)
2000,000	-4,288	-32,397
2118,507	-4,566	-31,201
2244,037	-4,851	-31,858
2377,004	-5,159	-32,424
2517,851	-5,481	-32,916
2667,043	-5,819	-33,279
2825,075	-6,173	-33,502
2992,471	-6,550	-33,580
3169,786	-6,924	-33,479
3357,608	-7,316	-33,189
3556,559	-7,720	-32,687
3767,298	-8,121	-31,965
3990,525	-8,532	-30,989
4226,978	-8,937	-29,765
4477,442	-9,321	-28,326
4742,747	-9,708	-26,587
5023,773	-10,078	-24,588
5321,450	-10,417	-22,407
5636,766	-10,737	-19,956
5970,765	-11,026	-17,303
6324,555	-11,289	-14,348
6699,309	-11,506	-11,257
7096,268	-11,683	-7,887
7516,748	-11,803	-4,483
7962,143	-11,871	-0,833
8433,930	-11,878	2,703
8933,672	-11,824	6,350
9463,025	-11,709	9,939
